Question,Answer
I have sent several private messages and no one is responding as usual,I understand. I would like to assist you. We would need to get you into a private secured link to further assist.
I did.,Please send us a Private Message so that we can further assist you. Just click Message at the top of your profile.
is the worst customer service,"Can you please send us a private message, so that I can gain further details about your account?"
is the worst customer service,I would love the chance to review the account and provide assistance.
is the worst customer service,Hello! We never like our customers to feel like they are not valued.
You gonna magically change your connectivity for me and my whole family ?,"This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC"
You gonna magically change your connectivity for me and my whole family ?,I would really like to work with you to have this resolved. Kindly send us a DM. I'm here for you! -ResolutionSup SR
You gonna magically change your connectivity for me and my whole family ?,"Hi, my name is Shantel, I'm a resolution supervisor here with Sprint. Your issues was brought to my attention.  1/2 -ResolutionSup SR"
Since I signed up with you....Since day 1,"We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA"
"yall lie about your great connection. 5 bars LTE, still wont load something. Smh.","H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
"whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried",Please send me a private message so that I can send you the link to access your account. -FR
Would you like me to email you a copy of one since Spectrum is not updating your training?,"Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa..."
I received this from your corporate office would you like a copy?,No thank you. ^JK
That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information,What information is incorrect? ^JK
actually that's a broken link you sent me and incorrect information,The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit...
"Yo , your customer service reps are super nice but imma start trippin if yall dont get my service going!","Hello, My apologies for any frustrations or inconvenience. Id be happy to look into this for you? ^MG"
My picture on  pretty much every day. Why should I pay $171 per month?,I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB
"I finally got someone that helped me, thanks!",Awesome! If you ever need us we are just a tweet away. ^HSB
somebody from  please help meeeeee  I'm having the worst luck with your customer service,Help has arrived! We are sorry to see that you are having trouble. How can we help? ^HSB
My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,Have your friend message us. ^ACM
What else can I provide? They refuse to help me because they cannot validate the account...,We would not be able to verify anything without authenticating your account. ^JAY
"How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us.  ^HSB
MD. And this was sent to the wrong address,Please follow and DM us so that we can look into this order.  ^HSB
"Dont know, router is downstairs. But its just the WiFi Nothing connected to Ethernet",Is the light on top red? ^JAY
Just randomly boots me offline there it goes again,Did the lights change on the router when this happened? ^JAY
Yep,"Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW"
Cuts out every 20 minutes this is ridiculous,Are all your services cutting out? ^ACM
is the worst ISP Ive ever had,What did we do to make you feel this way and how can we fix things between us? ^KMG
.                                                   &gt;All of VERIZON IS DOWN&lt; When can we expect a fix ?,In what area are you located? All of your services are down at this time? ^HSB
fix your app it won't even open,Which app are you referring too?  ^ACM
I don't fit in my Veggie Burrito costume #Halloween,I still think you look great! -Becky
messed up today and didnt give me my $3 burrito although I was dressed up,I'm so sorry about that. Please tell us more so we can help:  -Becky
hey  wanna come to Mammoth. I'll at least eat there once a week i promise,Hopefully we'll get there at some point! -Becky
"I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",Guac on! I'm happy it was such a great experience. -Becky
When you're the only one in costume #boorito,It's because you're smart. -Tara
no Diet Coke and a literal bone this Boorito was extra spooky!,That's incredibly concerning. Please tell us more here:  -Becky
"If you get queso or quac on you're bowl, its extra?",Nope! Still just the $3. -Becky
"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at   I got mine earlier, did you?","I mean, Boorito is basically the adult version of Halloween... -Becky"
Thank you  for resolving my issue so quickly!! Yall are the best  #fanforlife,I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky
So frustrated with   Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,That's concerning. Please share this with  -Shawn
"Btw  giving out $3 burritos if you dress up for Halloween  Call your Chipotle to make sure, theyre doing it @ select ones",All of our U.S. locations are participating! -Becky
"Tried, didn't work. How rude :/",My apologies for that. Just sent you a DM to help. -Becky
can I dress up as myself and still qualify for a BOORITO?,Give it a try. -Tara
"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home.","That's the best kind of trick-or-treating. All treats, my friend. -Becky"
this is nasty. A used napkin in someone's food,That's incredibly concerning. Please provide more details so we can investigate:  -Becky
$3 burritos and Im nowhere near a,Bummer. I'm so sorry. How far away is the closest location? -Becky
Also I got the onesie at target. So cozy,Noted  -Becky
Thanks Becky! Just feeling sorry for myself because my fianc is driving from D.C. To Mississippi tonight,"Whoa  that doesn't sound like a fun road trip. We'll be here with you every step of the way, though! -Becky"
Considering walking to  in my llama onesie alone happy Halloween,"You won't be alone  we'll be there with you. Also, I want that llama onesie. -Becky"
name a better halloween duo #speedwaybrick #UTtranscript,I love it! Thanks so much for stopping by. -Becky
"So, what's the november ps plus free game?",There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates:
It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.,"Glad to know that is downloading, please feel free to contact us if you have further concerns."
I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..,Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?
can i block a community from sending me invites to something i dont want to join,Glad to help.  Please share the details of this issue in our Community forum for further investigation:
We had to have a Count Colin   xx...,"Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
"Ere , never mind avocado  - Hows about ave a word? Is it really necessary?   The pair of em were suffocating.","We've let our team know we can do better, Joel. Thanks for sharing :)"
Raw meat!!!! Its does not say unwrapped raw meat!!! Sainsburys dont charge nor do Waitrose so y do you?!,"As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks"
y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.,"We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
Excellent Halloweening   #countcolin #halloween #food,Love the aesthetic of your Colin the 'Creeperpillar' and someday....
"hi, having trouble making purchases on Xbox one store for fifa points, can you help?","Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from ."
"hi, having trouble making purchases on Xbox one store for fifa points, can you help?","Hello, Josh! Please help us improve our Twitter support by answering our survey on this link:  Thank you."
I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info,Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team:
umm someone is streaming WWII with 500+ viewers,It appears this has been removed. Thanks for letting me know :) ^MB
I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message,Hello there. Sorry for the late response. I am just checking if you still in need assistance. Please let me know. ^RN
Thanks,"No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ^RK"
can you still pre oder ww2 on the playstation store,Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
