Question,Answer
he never wins your money?,"nope, and it drives him crazy."
"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
"turn the radio down, please.",but i'm listening to it.
but i'm listening to it.,"well, listen to it more quietly."
"well, listen to it more quietly.",i can't wait till i grow up.
i can't wait till i grow up.,what will you do?
what will you do?,i will play the radio as loud as i want.
i will play the radio as loud as i want.,that's okay with me.
that's okay with me.,i will have a radio in every room of my house.
i will have a radio in every room of my house.,remind me to never visit you.
remind me to never visit you.,all the radios will be on extra loud.
all the radios will be on extra loud.,your neighbors will hate you.
your neighbors will hate you.,"if they don't like it, they can move."
i hope i win the lotto.,your chances are very small.
your chances are very small.,but you can't win if you don't play.
but you can't win if you don't play.,ha! you can't win if you do play.
ha! you can't win if you do play.,someone has to win.
someone has to win.,that's what everyone says.
that's what everyone says.,it might as well be me.
it might as well be me.,that's what everyone says.
that's what everyone says.,you're trying to tell me something.
you're trying to tell me something.,that didn't take long.
that didn't take long.,you think i should quit playing.
you think i should quit playing.,save your money for school.
what's on tv?,nothing much.
nothing much.,what about the baseball game?
what about the baseball game?,it got rained out.
it got rained out.,rained out?
rained out?,"yes, rained out."
"yes, rained out.",how could that be?
how could that be?,"well, you can't play baseball in a rainstorm."
"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
i thought they were playing under a dome.,the dome doesn't close.
the dome doesn't close.,why doesn't it close?
why doesn't it close?,who knows? they said they'll fix it before next season.
can i try your coffee?,sure. here you go.
sure. here you go.,"hmm, that's not bad."
"hmm, that's not bad.",there's nothing in it.
there's nothing in it.,what do you mean?
what do you mean?,"i mean, it's just coffee."
"i mean, it's just coffee.",i figured that.
i figured that.,it's not too bitter for you?
it's not too bitter for you?,"it's a little bitter, but it's okay."
"it's a little bitter, but it's okay.",there's no sugar or cream in it.
there's no sugar or cream in it.,"no, it's a taste you have to get used to."
"no, it's a taste you have to get used to.",sort of like beer.
let's take a walk.,what's the weather like?
what's the weather like?,let me step outside and see.
let me step outside and see.,"it's a little chilly, right?"
"it's a little chilly, right?","yes, it is."
"yes, it is.",i'll put on my cap.
i'll put on my cap.,"wear a jacket, too."
"wear a jacket, too.",i wonder if i should bring my gloves.
i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
i'll put a glove in each pocket.,we'll get warmer as we walk.
we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
look at the car chase on tv!,that driver is crazy.
that driver is crazy.,i can't believe he hasn't crashed.
i can't believe he hasn't crashed.,how fast is he going?
how fast is he going?,they say he's going 80 miles per hour.
they say he's going 80 miles per hour.,he's going to kill someone.
he's going to kill someone.,look! he just hit that car.
look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
"oh, my goodness. no one is safe on the streets.",now he's slowing down.
